"Loading_type";"Recruiting_organization_id";"Recruiter_id";"Recruiter_First_name";"Recruiter_Last_name";"Recruiter_prefix";"Organization_yesno";"campaign_id";"Prefix";"Donor_id";"First_name";"Last_name";"Street_name";"Street_Number";"Street_Unit";"Postal_code";"City";"Country";"Birth_date";"Telephone1";"Telephone2";"Mobile1";"Mobile2";"Email";"IBAN";"Bic";"Bank_name";"Recruitment_date";"Import_date";"Newsletter";"Member";"Interests";"Recruitement_location";"Notes";"Mandate_reference";"Amount";"Frequency_unit";"Frequency_interval";"Start_date";"End_date";"Cancellation";"Followup_call"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"717829";"elkTzJGN";"arVgNNAW";"EaUU1zeW";"45";;"2288";"Bouwel";"BE";"16/08/1955";"3227575287";;"3226027861";;"dzT4URAV@cozily.be";"BE48733044813727";"KREDBEBB";;"01/07/2015";;"Ja";"Ja";"HealthSports";"Locatie1";"notatekstje blabla";"AIVL-RD717829";"11";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"X";"268841";"QnSTGKiN";"ujkwEAHy";"cxzNwL2D";"52";;"9930";"ZOMERGEM";"BE";"19/10/1991";"3223198718";;"3223094328";;"ghkQ64bP@active.be";"BE79777503134733";"GKCCBEBB";;"01/07/2015";;"Ja";"Ja";"BooksBooks";"Locatie1";"notatekstje blabla";"AIVL-RD268841";"8";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"108821";"CGEljPBt";"hqoByCLE";"HRaQBkKI";"55";;"1831";"Diegem";"BE";"15/06/1965";"3224847833";;"3220231721";;"BhaCUhYI@healthy.be";"BE66738319151543";"KREDBEBB";;"01/07/2015";;"Ja";"Ja";"Movies";"Locatie3";"notatekstje blabla";"AIVL-RD108821";"8";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"239939";"3yYxpFte";"Ed9DtElK";"2f3zn2xf";"49";;"2275";"LILLE";"BE";"06/03/1982";"3221045285";;"3222057933";;"DVbvDy1g@healthy.be";"BE02731024159540";"KREDBEBB";;"01/07/2015";;"Ja";"Ja";"Sports";"Locatie1";"andere notaatje";"AIVL-RD239939";"9";"Maand";"1";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"712507";"WHByVff4";"Pnoj3Ps9";"FxJTI71Z";"56";;"2570";"DUFFEL";"BE";"19/01/1970";"3226203886";;"3225351872";;"I5nT2HY2@healthy.be";"BE29063499252264";"GKCCBEBB";;"01/07/2015";;"Ja";"Ja";"Books";"Locatie1";"andere notaatje";"AIVL-RD712507";"7";"Maand";"1";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"mevrouw";"419086";"iyElztiL";"SlBQ2PyC";"FLuKye1g";"60";;"3806";"Velm";"BE";"14/09/1991";"3222608928";;"3220622183";;"vvBfFnjQ@cozily.be";"BE91733012420676";"KREDBEBB";;"01/07/2015";;"Ja";"Ja";"Electronics";"Locatie1";"andere notaatje";"AIVL-RD419086";"9";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"mevrouw";"655426";"Z8NeYAUr";"UARevKVC";"MGusCNUD";"69";;"9060";"ZELZATE";"BE";"22/05/1982";"3222052856";;"3225460940";;"H74nklvt@healthy.be";"BE46613934169036";"DEUTBEBE";;"01/07/2015";;"Ja";"Ja";"HealthToys";"Locatie1";"andere notaatje";"AIVL-RD655426";"11";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"mevrouw";"433284";"wz16b2Wh";"HppKWUf8";"nJKmnzQj";"54";;"3680";"MAASEIK";"BE";"04/06/1989";"3229887946";;"3225701376";;"QcAvXOMu@active.be";"BE36063391448181";"GKCCBEBB";;"01/07/2015";;"Ja";"Ja";"Clothing";"Locatie2";"andere notaatje";"AIVL-RD433284";"8";"Maand";"2";;;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"218267";"aR8ZkRSf";"1tJFwkkI";"gSaywB4e";"18";;"3472";"Kersbeek-Miskom";"BE";"21/05/1980";"3226691064";;"3229272218";;"vEV6WG6Y@active.be";"BE58068894869079";"GKCCBEBB";;"01/07/2015";;"Ja";"Ja";"ClothingMovies";"Locatie3";"notatekstje blabla";"AIVL-RD218267";"7";"Maand";"1";"01/08/2015";;"N";"N"
"1";"6";"5";"Ilse";"Wierckx";"mevrouw";"N";"2";"meneer";"677605";"VzsFKacF";"K7GBlFO2";"AeyoWDEN";"69";;"1910";"KAMPENHOUT";"BE";"26/05/1985";"3229164073";;"3221458816";;"JBqZGB8S@healthy.be";"BE54880324693197";"HBKABE22";;"01/07/2015";;"Ja";"Ja";"Electronics/HomeGardenHealth";"Locatie1";"notatekstje blabla";"AIVL-RD677605";"10";"Maand";"2";"01/09/2015";;"N";"N"
